-15903,-15903,-14250,-14250
-16134,-16134,-15389,-15389
-15977,-15977,-16151,-16151
-15420,-15420,-16522,-16522
-14490,-14490,-16492,-16492
-13210,-13210,-16057,-16057
-11610,-11610,-15228,-15228
-9722,-9722,-14031,-14031
-7598,-7598,-12495,-12495
-5291,-5291,-10651,-10651
-2857,-2857,-8546,-8546
-351,-351,-6236,-6236
2160,2160,-3774,-3774
4619,4619,-1220,-1220
6967,6967,1360,1360
9144,9144,3910,3910
11094,11094,6364,6364
12776,12776,8663,8663
14149,14148,10746,10746
15173,15173,12568,12568
15825,15825,14087,14087
16093,16093,15262,15262
15972,15972,16059,16059
15460,15460,16466,16466
14566,14566,16475,16475
13322,13322,16085,16085
11755,11755,15294,15294
9900,9900,14134,14134
7802,7802,12632,12632
5516,5516,10824,10824
3096,3096,8746,8746
602,602,6459,6459
-1906,-1906,4016,4016
-4367,-4367,1474,1474
-6723,-6723,-1101,-1101
-8916,-8916,-3649,-3649
-10886,-10886,-6109,-6109
-12592,-12592,-8422,-8422
-13993,-13993,-10526,-10526
-15056,-15056,-12371,-12371
-15744,-15743,-13918,-13918
-16049,-16049,-15127,-15127
-15967,-15967,-15963,-15963
-15499,-15499,-16408,-16408
-14645,-14644,-16457,-16457
-13436,-13436,-16108,-16108
-11904,-11904,-15361,-15361
-10082,-10082,-14239,-14239
-8011,-8011,-12773,-12773
-5746,-5746,-10998,-10998
-3342,-3342,-8953,-8953
-858,-858,-6688,-6688
1646,1646,-4263,-4263
4110,4110,-1735,-1735
6474,6474,835,835
8682,8682,3384,3384
10676,10676,5851,5851
12408,12408,8176,8176
13840,13839,10302,10302
14936,14936,12173,12173
15666,15665,13748,13748
16011,16011,14992,14992
15968,15968,15870,15870
15540,15540,16355,16355
14731,14731,16444,16444
13559,13559,16136,16137
12060,12059,15436,15436
10269,10269,14352,14352
8227,8227,12922,12923
5982,5982,11180,11180
3593,3593,9167,9167
1118,1118,6925,6925
-1384,-1384,4516,4516
-3852,-3852,1999,1999
-6227,-6227,-565,-565
-8451,-8451,-3117,-3117
-10471,-10471,-5593,-5593
-12231,-12231,-7933,-7933
-13694,-13694,-10082,-10082
-14825,-14825,-11981,-11981
-15598,-15598,-13588,-13588
-15984,-15984,-14865,-14866
-15981,-15981,-15784,-15784
-15593,-15593,-16314,-16314
-14827,-14827,-16444,-16444
-13692,-13692,-16177,-16177
-12226,-12226,-15518,-15518
-10465,-10465,-14477,-14477
-8449,-8449,-13082,-13082
-6223,-6223,-11371,-11371
-3847,-3847,-9384,-9384
-1379,-1379,-7166,-7166
1123,1123,-4773,-4773
3599,3599,-2265,-2265
5986,5986,297,297
8229,8229,2854,2854
10273,10273,5341,5341
12065,12065,7698,7698
13560,13560,9869,9869
14728,14728,11800,11800
15540,15540,13440,13440
15970,15970,14754,14754
16008,16008,15711,15711
15658,15658,16286,16286
14930,14930,16458,16458
13836,13836,16231,16231
12401,12401,15611,15611
10665,10665,14613,14613
8673,8673,13252,13252
6466,6466,11569,11569
4101,4101,9607,9607
1636,1636,7411,7411
-867,-867,5030,5030
-3352,-3352,2528,2528
-5754,-5754,-34,-34
-8016,-8016,-2597,-2597
-10085,-10085,-5097,-5097
-11910,-11910,-7472,-7472
-13439,-13439,-9667,-9667
-14643,-14642,-11629,-11629
-15492,-15492,-13304,-13304
-15967,-15967,-14653,-14653
-16043,-16043,-15648,-15648
-15732,-15732,-16266,-16266
-15040,-15040,-16481,-16481
-13984,-13984,-16294,-16294
-12579,-12579,-15712,-15712
-10869,-10869,-14750,-14750
-8896,-8896,-13424,-13424
-6707,-6707,-11769,-11769
-4351,-4351,-9830,-9830
-1889,-1889,-7652,-7652
616,616,-5285,-5285
3110,3110,-2788,-2788
5527,5527,-224,-224
7809,7809,2345,2345
9902,9902,4859,4859
11757,11757,7253,7253
13322,13322,9471,9471
14560,14560,11461,11461
15446,15446,13172,13172
15958,15958,14557,14557
16079,16079,15589,15589
15804,15804,16244,16244
15145,15145,16505,16505
14121,14121,16355,16355
12750,12750,15809,15809
11065,11065,14881,14881
9113,9113,13592,13592
6938,6938,11963,11963
4594,4594,10045,10045
2135,2135,7884,7884
-372,-372,5532,5532
-2873,-2873,3040,3040
-5305,-5305,476,476
-7605,-7605,-2098,-2098
-9721,-9721,-4624,-4624
-11602,-11602,-7036,-7036
-13202,-13202,-9277,-9277
-14473,-14472,-11292,-11292
-15393,-15393,-13035,-13035
-15940,-15940,-14456,-14456
-16102,-16102,-15522,-15522
-15863,-15863,-16214,-16214
-15239,-15239,-16513,-16513
-14246,-14246,-16404,-16404
-12908,-12908,-15894,-15894
-11248,-11248,-14999,-14999
-9315,-9315,-13740,-13740
-7157,-7157,-12143,-12143
-4825,-4825,-10247,-10247
-2373,-2373,-8104,-8104
135,135,-5765,-5765
2641,2641,-3283,-3283
5084,5084,-720,-720
7401,7401,1857,1857
9537,9537,4393,4393
11442,11442,6821,6821
13070,13070,9080,9080
14376,14376,11120,11120
15329,15329,12889,12889
15911,15911,14345,14345
16107,16107,15446,15446
15908,15908,16172,16172
15318,15318,16506,16506
14356,14356,16440,16440
13047,13046,15963,15963
11418,11418,15101,15101
9507,9507,13873,13873
7366,7366,12308,12308
5047,5047,10437,10437
2603,2603,8313,8313
97,97,5988,5988
-2411,-2411,3517,3517
-4861,-4861,958,958
-7195,-7195,-1620,-1620
-9349,-9349,-4161,-4161
-11276,-11276,-6603,-6603
-12929,-12929,-8881,-8881
-14270,-14270,-10941,-10941
-15255,-15255,-12736,-12736
