0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,1,0,0
1,1,1,0
1,1,1,0
1,1,1,0
1,2,1,0
1,2,1,0
2,2,2,0
2,2,2,1
2,2,2,2
2,2,2,2
2,3,2,2
2,3,2,2
3,3,3,2
3,3,3,3
3,2,3,3
3,2,3,3
2,1,2,3
2,1,2,2
1,0,1,2
0,0,0,2
0,0,0,1
0,-1,0,0
0,-1,0,0
-1,-2,-1,0
-1,-3,-1,0
-2,-4,-2,-1
-3,-5,-3,-2
-4,-6,-4,-2
-5,-8,-5,-4
-7,-8,-7,-5
-8,-9,-8,-6
-8,-9,-8,-7
-9,-9,-9,-7
-9,-9,-9,-8
-9,-9,-9,-9
-9,-10,-9,-9
-10,-11,-10,-9
-10,-11,-10,-9
-11,-10,-11,-10
-10,-9,-10,-10
-9,-8,-9,-10
-8,-6,-8,-9
-7,-4,-7,-8
-5,-2,-5,-8
-3,-1,-3,-7
-1,0,-1,-5
0,3,0,-3
1,6,1,-1
4,9,4,0
7,12,7,2
10,14,10,5
12,17,12,8
15,20,15,11
18,23,18,13
21,25,21,15
23,27,23,18
26,28,26,21
27,29,27,23
28,29,28,26
29,28,29,27
28,27,28,27
28,26,28,28
27,23,27,27
25,21,25,26
22,16,22,25
19,12,19,23
15,7,15,21
11,4,11,17
6,0,6,13
2,-4,2,9
-1,-9,-1,4
-6,-13,-6,1
-10,-17,-10,-2
-14,-22,-14,-7
-18,-26,-18,-11
-23,-31,-23,-15
-28,-35,-28,-19
-33,-37,-33,-24
-36,-39,-36,-28
-38,-39,-38,-33
-39,-38,-39,-36
-39,-37,-39,-37
-37,-34,-37,-37
-36,-31,-36,-37
-34,-26,-34,-36
-29,-20,-29,-34
-24,-15,-24,-31
-18,-8,-18,-27
-13,-3,-13,-21
