-20956,-21131,-17138,-17202
23316,23151,-28750,-28839
1485,1333,22677,22565
-20388,-20523,6413,6280
23783,23668,-11611,-11761
3445,3354,-30937,-31100
-15382,-15448,14427,14255
-32247,-32286,-6097,-6275
18822,18812,-26483,-26662
7103,7121,19334,19158
-1598,-1552,749,581
-7073,-7000,-16268,-16424
-9166,-9068,-31302,-31442
-7831,-7710,21589,21468
-3120,-2979,11616,11517
4865,5021,4546,4472
15936,16105,555,506
29808,29985,-233,-254
-19398,-19216,2177,2184
-982,-802,7730,7764
19065,19241,16286,16347
-25313,-25146,27645,27732
-3544,-3391,-24010,-23900
18327,18463,-7948,-7818
-25786,-25670,9905,10053
-5354,-5261,29123,29285
13610,13678,-16322,-16150
30657,30697,4164,4342
-20176,-20164,24559,24737
-8200,-8216,-21186,-21010
779,735,-2494,-2326
6557,6486,14666,14823
8978,8882,29876,30018
7967,7848,-22778,-22654
3574,3434,-12552,-12450
-4103,-4259,-5213,-5136
-14873,-15042,-937,-885
-28481,-28658,160,184
20953,20771,-1948,-1952
2742,2560,-7201,-7232
-17140,-17317,-15471,-15530
27339,27171,-26567,-26651
5624,5469,25334,25227
-16231,-16370,9483,9355
27842,27724,-8200,-8346
7309,7214,-27287,-27447
-11798,-11867,18241,18070
-29026,-29068,-2203,-2380
21580,21565,-22602,-22781
9328,9341,23078,22902
59,101,4279,4109
-6027,-5958,-13022,-13180
-8779,-8685,-28420,-28564
-8109,-7992,24000,23874
-4045,-3907,13514,13410
3301,3456,5898,5818
13770,13938,1324,1270
27102,27279,-95,-122
-22579,-22397,1700,1701
-4582,-4400,6648,6676
15139,15316,14622,14678
-29446,-29276,25428,25509
-7793,-7637,-26717,-26612
14039,14179,-11081,-10955
-29985,-29865,6418,6562
-9340,-9242,25363,25522
9915,9987,-20246,-20076
27327,27372,162,338
-23043,-23026,20563,20741
-10502,-10514,-25065,-24888
-923,-963,-6142,-5972
5478,5410,11316,11475
8573,8480,26903,27048
8263,8146,-25282,-25154
4544,4407,-14514,-14408
-2472,-2627,-6601,-6519
-12621,-12788,-1723,-1666
-25656,-25833,17,48
24277,24095,-1443,-1441
6488,6306,-6064,-6089
-13058,-13237,-13728,-13781
31650,31479,-24252,-24330
10052,9894,28153,28051
-11783,-11924,12750,12626
32206,32084,-4562,-4704
11461,11361,-23366,-23524
-7957,-8031,22331,22163
-25578,-25625,1965,1790
24552,24532,-18447,-18625
11728,11738,27122,26945
1823,1861,8079,7908
-4922,-4857,-9547,-9708
-8364,-8273,-25338,-25484
-8416,-8302,26607,26478
-5060,-4924,15553,15444
1616,1769,7333,7248
11437,11603,2129,2069
24175,24351,57,24
-26011,-25829,1169,1163
-8443,-8260,5460,5483
10927,11106,12815,12864
31641,31812,23040,23115
-12351,-12191,-29640,-29541
9478,9622,-14461,-14339
31071,31195,2669,2809
-13613,-13512,21327,21482
5978,6055,-24469,-24302
23811,23861,-4132,-3957
-26073,-26051,16297,16475
-12959,-12966,-29208,-29031
-2724,-2759,-10049,-9878
4367,4305,7755,7917
8159,8070,23763,23911
8568,8456,-27939,-27808
5583,5449,-16603,-16492
-748,-899,-8062,-7974
-10254,-10419,-2531,-2468
-22696,-22872,-124,-88
27753,27571,-900,-892
10389,10206,-4856,-4875
-8816,-8997,-11885,-11932
-29411,-29584,-21818,-21891
14638,14477,31121,31024
-7196,-7341,16164,16045
-28846,-28973,-775,-913
15736,15631,-19293,-19447
-4018,-4097,26589,26423
-22069,-22122,6276,6102
27560,27535,-14172,-14350
14166,14170,31266,31089
3609,3641,11991,11819
-3830,-3770,-5992,-6155
-7974,-7888,-22213,-22362
-8738,-8627,29241,29109
-6100,-5968,17626,17513
-108,42,8769,8679
9078,9243,2914,2849
21230,21406,176,137
-29467,-29285,626,615
-12305,-12121,4245,4261
6740,6921,10966,11010
27218,27392,20617,20688
-16885,-16722,-32581,-32486
4961,5109,-17854,-17737
26670,26799,-1083,-946
-17809,-17702,17308,17460
2101,2183,-28662,-28498
20368,20424,-8391,-8218
-29011,-28983,12088,12265
-15342,-15343,32262,32438
-4479,-4508,-13887,-13715
3304,3247,4260,4423
7795,7712,20704,20855
8895,8787,-30505,-30371
6599,6469,-18625,-18510
945,797,-9471,-9379
-7938,-8102,-3288,-3220
-19818,-19993,-226,-185
31127,30945,-354,-341
14175,13991,-3660,-3674
-4721,-4903,-10080,-10122
-25100,-25275,-19450,-19518
19069,18904,-31536,-31628
-2768,-2918,19485,19370
-24539,-24670,2886,2752
19839,19729,-15373,-15524
-216,-302,30683,30519
-18680,-18739,10445,10273
30454,30423,-10055,-10231
