step,reward
1,2.622604E-05
2,8.058548E-05
3,0.0001802444
4,0.0003118515
5,0.00050354
6,0.0007195473
7,0.0009489059
8,0.001107693
9,0.001467705
10,0.001820564
11,0.002220154
12,0.002521038
13,0.003046989
14,0.003469467
15,0.004040241
16,0.004659176
17,0.005187511
18,0.005736828
19,0.006289959
20,0.007070541
21,0.007905483
22,0.008667469
23,0.009476185
24,0.0100894
25,0.01123524
26,0.01219463
27,0.01335049
28,0.01445103
29,0.01580858
30,0.01710176
31,0.0187583
32,0.02026987
33,0.02175283
34,0.02340937
35,0.02488184
36,0.02639818
37,0.02741528
38,0.02851439
39,0.0302639
40,0.03242922
41,0.03483868
42,0.03592348
43,0.03833294
44,0.04039764
45,0.04282475
46,0.04522896
47,0.04756975
48,0.04897499
49,0.05046225
50,0.0532012
51,0.05447531
52,0.05704975
53,0.06004381
54,0.06162691
55,0.06454229
56,0.06771183
57,0.07103777
58,0.07255077
59,0.07440948
60,0.07847834
61,0.08080435
62,0.08282661
63,0.08668756
64,0.08870411
65,0.09245062
66,0.09610796
67,0.1001859
68,0.1045995
69,0.1097393
70,0.1144514
71,0.1164198
72,0.120389
73,0.1256094
74,0.1299334
75,0.1352773
76,0.1409574
77,0.1439981
78,0.1463099
79,0.1511116
80,0.1571221
81,0.1595788
82,0.1621137
83,0.1681051
84,0.1751919
85,0.1817689
86,0.1873832
87,0.1940722
88,0.1997008
89,0.2063174
90,0.2091846
91,0.2121377
92,0.2198973
93,0.2284884
94,0.2351742
95,0.2426848
96,0.2465405
97,0.2552114
98,0.2640934
99,0.2716813
100,0.2801247
101,0.2889385
102,0.2977815
103,0.3059764
104,0.3144045
105,0.3242698
106,0.3333726
107,0.3427582
108,0.3467212
109,0.3558974
110,0.3656282
111,0.3691239
112,0.3804445
113,0.3810506
114,0.3911581
115,0.4032679
116,0.4144559
117,0.4259171
118,0.4368091
119,0.4488888
120,0.4604445
121,0.4719281
122,0.4855123
123,0.490201
124,0.502264
125,0.5163488
126,0.5310612
127,0.5443254
128,0.5593667
129,0.5637827
130,0.5700641
131,0.5855765
132,0.60113
133,0.615449
134,0.6310105
135,0.6469774
136,0.6537957
137,0.6720705
138,0.6773605
139,0.695013
140,0.700242
141,0.7160578
142,0.721344
143,0.7375426
144,0.7539368
145,0.7593904
146,0.7646818
147,0.7817836
148,0.7874141
149,0.8059216
150,0.8254237
151,0.831244
152,0.8491573
153,0.8551116
154,0.874795
155,0.8935175
156,0.8996959
157,0.9201322
158,0.9404211
159,0.9612503
160,0.9843202
161,1.004887
162,1.010765
163,1.0319
164,1.054248
165,1.076131
166,1.099409
167,1.10707
168,1.132108
169,1.139145
170,1.163267
171,1.186774
172,1.21112
173,1.234733
174,1.259031
175,1.284165
176,1.291526
177,1.297816
178,1.323278
179,1.329672
180,1.337099
181,1.362894
182,1.388902
183,1.395267
184,1.402842
185,1.429921
186,1.455437
187,1.483909
188,1.490145
189,1.517377
190,1.545416
191,1.57185
192,1.578431
193,1.60649
194,1.63557
195,1.663716
196,1.693151
197,1.721033
198,1.717094
199,1.745368
200,1.775511
201,1.805833
202,1.835843
203,1.866604
204,1.897683
205,1.928376
206,1.936388
207,1.967489
208,1.997887
209,2.027806
210,2.057994
211,2.087956
212,2.119168
213,2.114823
214,2.146784
215,2.179349
216,2.187165
217,2.219694
218,2.251117
219,2.282515
220,2.290363
221,2.297883
222,2.304391
223,2.337229
224,2.369177
225,2.401811
226,2.433015
227,2.466202
228,2.498022
229,2.530107
230,2.562138
231,2.56817
232,2.574437
233,2.606542
234,2.63995
235,2.634001
236,2.666106
237,2.697848
238,2.730163
239,2.763409
240,2.795164
241,2.827674
242,2.859603
243,2.892738
244,2.925443
245,2.958553
246,2.964503
247,2.969556
248,2.975412
249,3.007502
250,3.040353
251,3.072236
252,3.104005
253,3.135888
254,3.168221
255,3.159923
256,3.191215
257,3.223467
258,3.255621
259,3.261119
260,3.265904
261,3.270921
262,3.302855
263,3.334674
264,3.366447
265,3.39728
266,3.42812
267,3.433423
268,3.464488
269,3.495875
270,3.500429
271,3.531164
272,3.561661
273,3.592355
274,3.596837
275,3.627421
276,3.655976
277,3.685617
278,3.689901
279,3.694021
280,3.723802
281,3.726853
282,3.756325
283,3.785452
284,3.815277
285,3.818953
286,3.847987
287,3.877155
288,3.905329
289,3.909176
290,3.93764
291,3.940854
292,3.96903
293,3.996548
294,4.021997
295,4.04696
296,4.07401
297,4.100611
298,4.127684
299,4.155303
300,4.182736
301,4.184194
302,4.211669
303,4.237287
304,4.264137
305,4.267173
306,4.293831
307,4.316367
308,4.341656
309,4.344703
310,4.368659
311,4.370005
312,4.396248
313,4.42184
314,4.443006
315,4.466667
316,4.491783
317,4.516581
318,4.541291
319,4.544044
320,4.54561
321,4.568577
322,4.592709
323,4.616888
324,4.640524
325,4.662121
326,4.664632
327,4.686392
328,4.706955
329,4.727853
330,4.728168
331,4.748746
332,4.749201
333,4.769955
334,4.790093
335,4.79233
336,4.81229
337,4.81355
338,4.834987
339,4.836972
