step,reward
1,3.194809E-05
2,7.247925E-05
3,0.0001659393
4,0.0002908707
5,0.0004467964
6,0.0006484985
7,0.0009016991
8,0.001181126
9,0.001518726
10,0.001703262
11,0.002168179
12,0.002661705
13,0.002982616
14,0.003359318
15,0.003870964
16,0.004454136
17,0.00520277
18,0.005692005
19,0.00642395
20,0.006818771
21,0.00757885
22,0.008597374
23,0.009144783
24,0.0102973
25,0.011518
26,0.01280403
27,0.01398373
28,0.01546764
29,0.01613569
30,0.01778889
31,0.01944542
32,0.02139044
33,0.02267504
34,0.02407074
35,0.02646065
36,0.02704525
37,0.02874613
38,0.03099871
39,0.03288889
40,0.0354948
41,0.03855181
42,0.0408926
43,0.04452181
44,0.04643822
45,0.05044937
46,0.0540452
47,0.0570879
48,0.06144094
49,0.06392765
50,0.06821156
51,0.07343102
52,0.07867146
53,0.08173513
54,0.08394718
55,0.09000635
56,0.0960393
57,0.1023245
58,0.1060877
59,0.110146
60,0.1142097
61,0.1216388
62,0.1294742
63,0.1335368
64,0.1417098
65,0.1499624
66,0.158535
67,0.1638727
68,0.1682377
69,0.1779199
70,0.188004
71,0.1905489
72,0.1980329
73,0.2060938
74,0.2166834
75,0.2280149
76,0.2397375
77,0.2488317
78,0.2562757
79,0.2684841
80,0.2773681
81,0.2876439
82,0.2979136
83,0.3118215
84,0.3261886
85,0.3408155
86,0.35537
87,0.3703833
88,0.3862724
89,0.39359
90,0.4037833
91,0.4069777
92,0.4210086
93,0.4381394
94,0.4555249
95,0.4696903
96,0.4879923
97,0.4997635
98,0.5091944
99,0.528336
100,0.5478835
101,0.5677571
102,0.5881081
103,0.6012774
104,0.6221232
105,0.6434665
106,0.6596103
107,0.6808953
108,0.7031989
109,0.7166715
110,0.7386932
111,0.7617431
112,0.7766476
113,0.7860723
114,0.8098469
115,0.833931
116,0.8441825
117,0.8667822
118,0.890697
119,0.9157038
120,0.9259377
121,0.9511952
122,0.9768038
123,0.9977765
124,1.02379
125,1.048218
126,1.074492
127,1.101082
128,1.123223
129,1.14973
130,1.164363
131,1.180593
132,1.206273
133,1.233592
134,1.261016
135,1.286623
136,1.312901
137,1.336826
138,1.358715
139,1.386366
140,1.413182
141,1.441055
142,1.456827
143,1.481504
144,1.508669
145,1.52603
146,1.546624
147,1.574548
148,1.599627
149,1.62709
150,1.648057
151,1.668187
152,1.696307
153,1.711391
154,1.737071
155,1.753944
156,1.770905
157,1.79853
158,1.826439
159,1.848155
160,1.874059
161,1.895892
162,1.922921
163,1.942626
164,1.970079
165,1.991573
166,2.003756
167,2.030973
168,2.057951
169,2.084926
170,2.110381
171,2.126845
172,2.152565
173,2.17791
174,2.203824
175,2.225578
176,2.247408
177,2.271986
178,2.295397
179,2.317303
180,2.342142
181,2.36723
182,2.39195
183,2.416583
184,2.441061
185,2.465151
186,2.488708
187,2.512627
188,2.536272
189,2.560056
190,2.583316
191,2.604874
192,2.627531
193,2.649177
194,2.669685
195,2.689156
196,2.709321
197,2.731172
198,2.750622
199,2.769922
200,2.788669
201,2.807417
202,2.827471
203,2.845769
204,2.866236
205,2.886329
206,2.906626
207,2.926618
208,2.943626
209,2.961897
210,2.979141
211,2.998792
212,3.015853
213,3.031859
214,3.045064
215,3.060236
216,3.077653
217,3.092524
218,3.105501
219,3.118574
220,3.136323
221,3.150374
222,3.16645
223,3.182833
224,3.199042
225,3.216036
226,3.228703
227,3.24161
228,3.258195
229,3.274518
230,3.28704
231,3.302983
232,3.317613
233,3.329178
234,3.343931
235,3.358026
236,3.368959
237,3.38333
238,3.396835
239,3.408848
240,3.420733
241,3.434633
242,3.444425
243,3.458859
244,3.468632
245,3.479484
246,3.492868
247,3.50175
248,3.515992
249,3.526208
250,3.534057
251,3.544572
252,3.552857
253,3.565287
254,3.578996
255,3.586824
256,3.594473
257,3.603538
258,3.615237
259,3.626795
260,3.638283
261,3.650735
262,3.66244
263,3.669124
264,3.68061
265,3.691854
266,3.698207
267,3.704674
268,3.716123
269,3.72479
270,3.730622
271,3.736316
272,3.747131
273,3.757867
274,3.767579
275,3.773025
276,3.77816
277,3.785893
278,3.793492
279,3.799759
280,3.807072
281,3.815627
282,3.820153
283,3.830078
284,3.837024
285,3.843815
286,3.847961
287,3.851894
288,3.863456
289,3.867341
290,3.873733
291,3.877441
292,3.883558
293,3.887094
294,3.890544
295,3.896111
296,3.904109
297,3.913031
298,3.918657
299,3.922382
300,3.927912
301,3.935089
302,3.94091
303,3.950274
304,3.954359
305,3.961227
306,3.969655
307,3.972278
308,3.974881
309,3.977637
310,3.980114
311,3.984649
312,3.99279
313,3.995106
314,4.002355
315,4.009579
316,4.019437
317,4.021593
318,4.027637
319,4.031758
320,4.033766
321,4.035686
322,4.043333
323,4.047284
324,4.053728
325,4.059328
326,4.066384
327,4.068111
328,4.073524
329,4.080853
330,4.083435
331,4.085008
332,4.087948
333,4.091525
334,4.092991
335,4.098042
336,4.099906
337,4.106923
338,4.11182
339,4.113129
340,4.116174
341,4.117417
342,4.123857
343,4.125191
344,4.128173
345,4.129308
346,4.130413
347,4.131916
348,4.132966
