step,reward
1,2.622604E-05
2,7.009506E-05
3,0.0001473427
4,0.0002784729
5,0.0004105568
6,0.0005774498
7,0.0007638931
8,0.0009551048
9,0.00119257
10,0.001534462
11,0.001908779
12,0.002283573
13,0.002757549
14,0.003240585
15,0.003772259
16,0.004371643
17,0.004896641
18,0.005581856
19,0.00589323
20,0.006371975
21,0.007254124
22,0.007793427
23,0.008684635
24,0.009385586
25,0.01000166
26,0.01111603
27,0.01211548
28,0.01321363
29,0.01438189
30,0.01553679
31,0.01682615
32,0.01835155
33,0.01977682
34,0.0212574
35,0.0220685
36,0.02296686
37,0.02435875
38,0.02599716
39,0.02795887
40,0.0296998
41,0.03069878
42,0.03264093
43,0.03448105
44,0.03615856
45,0.0382576
46,0.04052019
47,0.04332638
48,0.0459857
49,0.04746056
50,0.05011988
51,0.05284929
52,0.05528879
53,0.05697393
54,0.06005955
55,0.06214428
56,0.06545687
57,0.06868362
58,0.07163334
59,0.07232428
60,0.07584238
61,0.07933378
62,0.08366251
63,0.08617544
64,0.08831072
65,0.09231901
66,0.09641504
67,0.1009221
68,0.1056504
69,0.1102877
70,0.1159444
71,0.1182556
72,0.1211953
73,0.1271014
74,0.1323929
75,0.1378117
76,0.1442986
77,0.1501756
78,0.156281
79,0.162087
80,0.1687803
81,0.1754074
82,0.1791573
83,0.1815758
84,0.1895823
85,0.1972032
86,0.2058115
87,0.2146239
88,0.2212934
89,0.2286601
90,0.2298617
91,0.2369051
92,0.2414942
93,0.2494392
94,0.2582059
95,0.2671881
96,0.2718053
97,0.2803588
98,0.2887392
99,0.2969365
100,0.3063889
101,0.3167329
102,0.3216076
103,0.3305345
104,0.3349333
105,0.3445849
106,0.3536901
107,0.3594999
108,0.3697858
109,0.3801823
110,0.3845506
111,0.3944464
112,0.3998208
113,0.405808
114,0.4154019
115,0.4257011
116,0.4371452
117,0.4415545
118,0.4512701
119,0.4553981
120,0.464642
121,0.4654074
122,0.4692822
123,0.4805903
124,0.4903569
125,0.4943972
126,0.5051746
127,0.5078163
128,0.5114822
129,0.5235763
130,0.5274658
131,0.5314403
132,0.5432892
133,0.5544133
134,0.5582004
135,0.5703006
136,0.5823154
137,0.5955634
138,0.6092963
139,0.6092186
140,0.6135392
141,0.6272302
142,0.6268668
143,0.6319294
144,0.6459708
145,0.6507001
146,0.6636639
147,0.663578
148,0.6779771
149,0.6932397
150,0.6987405
151,0.6993489
152,0.7141066
153,0.7289248
154,0.7284651
155,0.7349305
156,0.7405868
157,0.7561665
158,0.773272
159,0.7728143
160,0.7779765
161,0.7946486
162,0.800436
163,0.8069143
164,0.8241735
165,0.8409033
166,0.8468409
167,0.8658547
168,0.871141
169,0.8786092
170,0.8980737
171,0.9027233
172,0.9024692
173,0.9085608
174,0.9247007
175,0.9307671
176,0.9369302
177,0.9421134
178,0.9475384
179,0.9481931
180,0.9553866
181,0.9616451
182,0.9790092
183,0.996635
184,1.014317
185,1.034066
186,1.04073
187,1.060815
188,1.06622
189,1.085284
190,1.090571
191,1.109146
192,1.128707
193,1.149399
194,1.156577
195,1.161975
196,1.179699
197,1.185311
198,1.184107
199,1.188841
200,1.193929
201,1.213784
202,1.233577
203,1.239902
204,1.24637
205,1.251198
206,1.25767
207,1.263179
208,1.283277
209,1.300805
210,1.309373
211,1.314981
212,1.335243
213,1.339789
214,1.345952
215,1.366558
216,1.387568
217,1.407409
218,1.427158
219,1.448665
220,1.454429
221,1.47611
222,1.497679
223,1.519965
224,1.525559
225,1.547753
226,1.553189
227,1.575769
228,1.58133
229,1.576951
230,1.596574
231,1.619012
232,1.640867
233,1.644857
234,1.643109
235,1.648563
236,1.654116
237,1.676499
238,1.699004
239,1.697823
240,1.696899
241,1.704039
242,1.701964
243,1.724915
244,1.747458
245,1.77085
246,1.794851
247,1.800743
248,1.80758
249,1.830969
250,1.827659
251,1.850359
252,1.853389
253,1.857634
254,1.878635
255,1.901531
256,1.905192
257,1.928647
258,1.952025
259,1.975152
260,1.981291
261,2.001904
262,2.007849
263,2.031064
264,2.03385
265,2.055063
266,2.051045
267,2.073522
268,2.077483
269,2.101885
270,2.123506
271,2.146022
272,2.167703
273,2.190071
274,2.2153
275,2.238287
276,2.240828
277,2.244367
278,2.26859
279,2.291142
280,2.315807
281,2.318159
282,2.314173
283,2.336345
284,2.35801
285,2.361709
286,2.366036
287,2.368742
288,2.371533
289,2.373766
290,2.396719
291,2.418344
292,2.421211
293,2.443447
294,2.447515
295,2.470718
296,2.493335
297,2.515144
298,2.518365
299,2.519293
300,2.523
301,2.524598
302,2.546954
303,2.570345
304,2.573154
305,2.575308
306,2.577174
307,2.60036
308,2.60568
309,2.631637
310,2.635225
311,2.640586
312,2.642926
313,2.667119
314,2.691928
315,2.694995
316,2.719783
317,2.723965
318,2.748614
319,2.752922
320,2.777848
321,2.804646
322,2.831366
323,2.835135
324,2.861171
325,2.866819
326,2.893123
327,2.896015
328,2.920691
329,2.924898
330,2.949615
331,2.951839
332,2.976512
333,3.00133
334,3.026686
335,3.051214
336,3.07472
337,3.098254
338,3.102198
339,3.126429
340,3.150115
341,3.151908
342,3.175437
343,3.176859
344,3.201847
345,3.201427
346,3.224669
347,3.247877
348,3.249377
349,3.249783
350,3.250132
351,3.250459
352,3.250484
353,3.250571
354,3.252525
355,3.253697
356,3.276218
357,3.298495
358,3.320549
359,3.34467
360,3.366427
361,3.388235
362,3.380294
363,3.371004
364,3.393503
365,3.395443
366,3.397435
367,3.399493
368,3.421921
369,3.445367
370,3.468991
371,3.492515
372,3.517363
373,3.519826
374,3.545112
375,3.570673
376,3.593463
377,3.587056
378,3.611743
379,3.636542
380,3.660319
381,3.683346
382,3.70753
383,3.711223
384,3.73614
385,3.737758
386,3.739793
387,3.732064
388,3.736533
389,3.761232
390,3.785874
391,3.787263
392,3.789009
393,3.813947
394,3.817974
395,3.818829
396,3.818367
397,3.819205
398,3.820895
399,3.822259
400,3.824651
401,3.815042
402,3.837191
403,3.859471
404,3.881476
405,3.880411
406,3.901913
407,3.921662
408,3.942461
409,3.941197
410,3.939741
411,3.96004
412,3.97883
413,3.998066
414,4.017807
415,4.036544
416,4.055132
417,4.074851
418,4.093551
419,4.113814
420,4.113326
421,4.113925
422,4.112064
423,4.112937
424,4.132194
425,4.151932
426,4.152438
427,4.154866
428,4.176588
429,4.197888
430,4.198564
431,4.196394
432,4.196028
433,4.197028
434,4.185236
435,4.183965
436,4.185445
437,4.204948
438,4.226432
439,4.245461
440,4.265061
441,4.255239
442,4.254141
443,4.252906
444,4.27267
445,4.269337
446,4.286057
447,4.306237
448,4.327374
449,4.327675
450,4.348069
451,4.347709
452,4.347588
453,4.366639
454,4.365309
455,4.385878
456,4.40697
457,4.425516
458,4.446258
459,4.447986
460,4.448605
461,4.449265
462,4.441131
463,4.462614
464,4.46271
465,4.460883
466,4.458248
467,4.446755
468,4.46747
469,4.4666
470,4.464151
471,4.483208
472,4.502732
473,4.521085
474,4.538256
475,4.536967
476,4.530657
477,4.547437
478,4.542372
479,4.532472
480,4.549249
481,4.546008
482,4.54605
483,4.544517
484,4.560329
485,4.549143
486,4.568394
487,4.584548
488,4.581067
489,4.597176
490,4.612619
491,4.627771
492,4.622662
493,4.636123
494,4.633565
495,4.626446
496,4.638739
497,4.641366
498,4.658682
499,4.659764
500,4.675251
501,4.690715
502,4.685586
503,4.685109
504,4.681829
505,4.69628
506,4.70842
507,4.7235
508,4.739637
509,4.737453
510,4.752382
511,4.745824
512,4.744867
513,4.755032
514,4.768516
515,4.783249
516,4.78454
517,4.78395
518,4.800925
519,4.810934
520,4.809204
521,4.823218
522,4.823257
523,4.822824
524,4.834429
525,4.824119
526,4.835163
527,4.835361
528,4.824731
529,4.822079
530,4.821447
531,4.8219
532,4.835936
533,4.832897
534,4.830594
535,4.829551
536,4.827431
537,4.825255
538,4.825002
539,4.824338
540,4.824766
541,4.822542
542,4.838492
543,4.837975
544,4.85535
545,4.846326
546,4.865926
547,4.855995
548,4.857241
549,4.859406
550,4.874183
551,4.874273
552,4.893612
553,4.91116
554,4.928834
555,4.946355
556,4.945234
557,4.962507
558,4.95591
559,4.97306
560,4.990005
561,5.007376
562,5.02396
563,5.025474
564,5.041885
565,5.043844
566,5.048026
567,5.064198
568,5.082429
569,5.101133
570,5.11901
571,5.114417
572,5.118361
573,5.111698
574,5.128607
575,5.145349
576,5.146778
577,5.162012
578,5.17784
579,5.192586
580,5.209374
581,5.208903
582,5.203718
583,5.218941
584,5.219147
585,5.218079
586,5.215371
587,5.214391
588,5.229574
589,5.227639
590,5.242656
591,5.257554
592,5.257689
593,5.26109
594,5.260357
595,5.257891
596,5.272262
597,5.274981
598,5.273755
599,5.275245
600,5.278755
601,5.292385
602,5.292547
603,5.296139
604,5.295489
605,5.310201
606,5.325622
607,5.329107
608,5.328228
609,5.34179
610,5.357671
611,5.359872
612,5.363276
613,5.363394
614,5.3654
615,5.361374
616,5.360773
617,5.357867
618,5.360907
619,5.375309
620,5.390121
621,5.387876
622,5.403192
623,5.398862
624,5.401272
625,5.416132
626,5.417379
627,5.418647
628,5.420392
629,5.421619
630,5.425245
631,5.415701
632,5.410268
633,5.42308
634,5.424805
635,5.427489
636,5.428663
637,5.430233
638,5.428772
639,5.441276
640,5.444356
641,5.438621
642,5.453369
643,5.45423
644,5.468353
645,5.469745
646,5.471656
647,5.472343
648,5.473391
649,5.46397
650,5.464804
651,5.465824
652,5.47911
653,5.481831
654,5.495538
655,5.496995
656,5.497672
657,5.498286
658,5.498831
659,5.498623
660,5.512555
661,5.525827
662,5.538957
663,5.540277
664,5.543038
665,5.542323
666,5.544959
667,5.544126
668,5.546831
669,5.548383
670,5.546976
671,5.548525
672,5.561238
673,5.563219
674,5.575642
675,5.58688
676,5.598639
677,5.60041
678,5.59944
679,5.610993
680,5.61294
681,5.611934
682,5.612185
683,5.612609
684,5.612516
685,5.623738
686,5.633883
687,5.644827
688,5.645894
689,5.648461
690,5.657465
691,5.657177
692,5.667794
693,5.678265
694,5.687562
695,5.688877
696,5.690153
697,5.691463
698,5.699911
699,5.70827
700,5.708389
701,5.717885
702,5.717837
703,5.714727
704,5.72454
705,5.724574
706,5.723567
707,5.723845
708,5.722604
709,5.722454
710,5.73142
711,5.731492
712,5.730618
713,5.725571
714,5.735171
715,5.733661
716,5.739174
717,5.735209
718,5.733016
719,5.740479
720,5.745705
721,5.755342
722,5.7644
723,5.758016
724,5.755653
725,5.754077
726,5.749855
727,5.756846
728,5.752354
729,5.760134
730,5.769137
731,5.776402
732,5.770276
733,5.770694
734,5.765604
735,5.772449
736,5.779768
737,5.77862
738,5.77419
739,5.773353
740,5.780579
741,5.780515
742,5.77817
743,5.77369
744,5.781138
745,5.778747
746,5.780041
747,5.777645
748,5.776801
749,5.773374
750,5.773451
751,5.772591
752,5.772551
753,5.779251
754,5.777352
755,5.782742
756,5.782041
757,5.778662
758,5.777842
759,5.786209
760,5.79234
761,5.788448
762,5.787208
763,5.783768
764,5.781844
765,5.777877
766,5.779129
767,5.777545
768,5.778524
769,5.774484
770,5.769436
771,5.765834
772,5.766843
773,5.75968
774,5.759769
775,5.758437
776,5.767914
777,5.763658
778,5.764485
779,5.761182
780,5.757884
781,5.758487
782,5.760823
783,5.770267
784,5.768243
785,5.768796
786,5.766024
787,5.761905
788,5.760267
789,5.758853
790,5.75584
791,5.758276
792,5.755257
793,5.757114
794,5.759475
795,5.758257
796,5.757402
797,5.756057
798,5.757475
799,5.757767
800,5.756686
801,5.751743
802,5.74818
803,5.744041
804,5.754121
805,5.750448
806,5.750759
807,5.752599
808,5.748443
809,5.746619
810,5.745148
811,5.747006
812,5.744126
813,5.745466
814,5.743011
815,5.745631
816,5.743616
817,5.746223
818,5.747179
819,5.755294
820,5.758751
821,5.755342
822,5.756993
823,5.75632
824,5.757586
825,5.755632
826,5.757549
827,5.753895
828,5.762763
829,5.764373
830,5.760512
831,5.761447
832,5.759488
833,5.754726
834,5.755091
835,5.765503
1,2.43187E-05
2,8.916855E-05
1,3.194809E-05
2,7.343292E-05
1,3.194809E-05
2,8.392334E-05
1,3.480911E-05
2,8.678436E-05
1,3.194809E-05
2,8.058548E-05
1,2.622604E-05
2,7.534027E-05
1,2.622604E-05
2,8.869171E-05
1,2.43187E-05
2,6.628036E-05
1,2.622604E-05
2,6.818771E-05
1,2.43187E-05
2,7.915497E-05
1,3.194809E-05
2,0.0001139641
1,2.574921E-05
2,8.630753E-05
1,3.194809E-05
2,8.34465E-05
1,3.194809E-05
2,9.298325E-05
