step,reward
1,2.241135E-05
2,6.532669E-05
3,0.0001325607
4,0.0002245903
5,0.0003256798
6,0.0004615784
7,0.0006446838
8,0.0007915497
9,0.0009870529
10,0.001235485
11,0.001384258
12,0.001680851
13,0.001960278
14,0.002254009
15,0.002437115
16,0.002667904
17,0.003008842
18,0.003281593
19,0.003516197
20,0.003818512
21,0.004159927
22,0.004594803
23,0.005032539
24,0.005395889
25,0.005860806
26,0.006370544
27,0.006924152
28,0.007549286
29,0.008163452
30,0.008899689
31,0.009282589
32,0.0100894
33,0.01049805
34,0.01122952
35,0.01200819
36,0.01279449
37,0.01352692
38,0.01399899
39,0.01480293
40,0.01553106
41,0.01640558
42,0.01710749
43,0.01785803
44,0.01863194
45,0.01944351
46,0.02009344
47,0.02106094
48,0.0219717
49,0.02257776
50,0.02358437
51,0.02477646
52,0.02591515
53,0.02686787
54,0.02807188
55,0.02901077
56,0.03022003
57,0.03115511
58,0.03235292
59,0.03374195
60,0.03492165
61,0.03622293
62,0.0375886
63,0.03863716
64,0.03916645
65,0.04082918
66,0.04229975
67,0.04352808
68,0.04511786
69,0.04598904
70,0.04756737
71,0.04934692
72,0.05099106
73,0.05199289
74,0.05319977
75,0.05503035
76,0.05634546
77,0.05826569
78,0.05932331
79,0.06088877
80,0.06273556
81,0.0648489
82,0.06629658
83,0.068326
84,0.0704236
85,0.0724597
86,0.0745759
87,0.07674551
88,0.07891512
89,0.08094978
90,0.08264637
91,0.08499527
92,0.08736897
93,0.08808994
94,0.09024048
95,0.09275913
96,0.09511185
97,0.09675837
98,0.09781647
99,0.1003346
100,0.1015711
101,0.1033978
102,0.1056728
103,0.1072063
104,0.1090107
105,0.1098537
106,0.1119266
107,0.1147203
108,0.1156635
109,0.1177301
110,0.1197243
111,0.1218867
112,0.12359
113,0.1254334
114,0.1282244
115,0.1311474
116,0.1339517
117,0.1371546
118,0.139533
119,0.1417823
120,0.1448607
121,0.1478176
122,0.1500587
123,0.153337
124,0.1551194
125,0.1585445
126,0.1618781
127,0.1642904
128,0.1677079
129,0.1700816
130,0.1735744
131,0.1758657
132,0.1794829
133,0.1821971
134,0.1847386
135,0.188385
136,0.1920981
137,0.1959577
138,0.1998234
139,0.2026443
140,0.2049074
141,0.209105
142,0.2097883
143,0.2126012
144,0.2150302
145,0.2186894
146,0.221324
147,0.2227364
148,0.2240529
149,0.2267947
150,0.2293177
151,0.2332439
152,0.2363982
153,0.2394013
154,0.2421589
155,0.2463541
156,0.250814
157,0.2522297
158,0.255558
159,0.2582312
160,0.2629452
161,0.2674413
162,0.2699399
163,0.2741461
164,0.2758775
165,0.2792897
166,0.2822261
167,0.2868705
168,0.2899594
169,0.2912993
170,0.2963047
171,0.2993445
172,0.3044333
173,0.305934
174,0.3107243
175,0.3158088
176,0.3172264
177,0.3220711
178,0.3269873
179,0.3299932
180,0.332664
181,0.3359141
182,0.3373108
183,0.3403015
184,0.3453503
185,0.3504329
186,0.3538356
187,0.3590717
188,0.3639436
189,0.3685236
190,0.3718367
191,0.3755412
192,0.3803706
193,0.3831048
194,0.3885474
195,0.3937316
196,0.3977733
197,0.4034147
198,0.4086027
199,0.4138126
200,0.4176836
201,0.4206233
202,0.4258265
203,0.4287262
204,0.4342976
205,0.437604
206,0.4432821
207,0.4485917
208,0.4543304
209,0.4586573
210,0.462338
211,0.4660764
212,0.472126
213,0.4780664
214,0.4845724
215,0.487637
216,0.4936118
217,0.4954386
218,0.4986496
219,0.5025578
220,0.5092602
221,0.5151324
222,0.5218439
223,0.5282598
224,0.534368
225,0.5411806
226,0.5451756
227,0.5516906
228,0.5553613
229,0.5567827
230,0.5634027
231,0.5704927
232,0.5742512
233,0.581398
234,0.5879774
235,0.594852
236,0.5988879
237,0.6036158
238,0.6100912
239,0.6141977
240,0.6186485
241,0.6225023
242,0.6296182
243,0.6333156
244,0.640317
245,0.6408663
246,0.6452789
247,0.6520638
248,0.6559124
249,0.6565676
250,0.6604724
251,0.6672835
252,0.6746502
253,0.6792479
254,0.6865759
255,0.6939797
256,0.6985655
257,0.7057157
258,0.713634
259,0.7180023
260,0.7254748
261,0.7260709
262,0.7335024
263,0.7378983
264,0.7452536
265,0.7492471
266,0.75666
267,0.7644892
268,0.7645435
269,0.7720728
270,0.7724748
271,0.7765307
272,0.7846122
273,0.7889986
274,0.7968583
275,0.8049064
276,0.8128128
277,0.8172746
278,0.8251891
279,0.8293352
280,0.8340755
281,0.8384953
282,0.8469167
283,0.847147
284,0.8517261
285,0.8597436
286,0.8638716
287,0.8724709
288,0.8728971
289,0.8770361
290,0.8813753
291,0.8857021
292,0.8940926
293,0.8942795
294,0.9027882
295,0.9113212
296,0.9203305
297,0.9287715
298,0.9374552
299,0.942255
300,0.9463272
301,0.9505558
302,0.9593205
303,0.9681978
304,0.9771667
305,0.9859896
306,0.9907212
307,0.9995046
308,1.008651
309,1.013603
310,1.022601
311,1.022563
312,1.027326
313,1.036609
314,1.041382
315,1.050895
316,1.055527
317,1.064874
318,1.074124
319,1.0786
320,1.088155
321,1.092883
322,1.097492
323,1.097322
324,1.106697
325,1.116252
326,1.120463
327,1.124827
328,1.129266
329,1.133667
330,1.133374
331,1.137797
332,1.142432
333,1.151667
334,1.161202
335,1.165821
336,1.16997
337,1.174485
338,1.179047
339,1.183449
340,1.192889
341,1.202547
342,1.206841
343,1.211393
344,1.215813
345,1.220509
346,1.230165
347,1.240226
348,1.244929
349,1.254584
350,1.258963
351,1.263649
352,1.268442
353,1.273301
354,1.272444
355,1.276974
356,1.286999
357,1.296896
358,1.307096
359,1.311719
360,1.31053
361,1.320451
362,1.330633
363,1.329539
364,1.328729
365,1.333652
366,1.338244
367,1.348633
368,1.353287
369,1.363864
370,1.368472
371,1.379005
372,1.383898
373,1.394401
374,1.404433
375,1.414888
376,1.419501
377,1.423856
378,1.434382
379,1.445007
380,1.44933
381,1.459823
382,1.464371
383,1.474979
384,1.4856
385,1.496042
386,1.500488
387,1.505148
388,1.509592
389,1.520831
390,1.531405
391,1.542349
392,1.540469
393,1.545313
394,1.543196
395,1.554411
396,1.558787
397,1.563647
398,1.574393
399,1.579187
400,1.58999
401,1.593974
402,1.605095
403,1.615797
404,1.620399
405,1.62458
406,1.628974
407,1.63312
408,1.637524
409,1.634953
410,1.64633
411,1.657767
412,1.66913
413,1.680677
414,1.692343
415,1.703646
416,1.708021
417,1.719579
418,1.731047
419,1.742638
420,1.746678
421,1.758471
422,1.769796
423,1.781228
424,1.785174
425,1.789268
426,1.801283
427,1.812908
428,1.816913
429,1.821185
430,1.833313
431,1.845644
432,1.849858
433,1.846643
434,1.843545
435,1.840201
436,1.852763
437,1.85707
438,1.86876
439,1.872931
440,1.884462
441,1.896276
442,1.908377
443,1.920241
444,1.92432
445,1.928481
446,1.940481
447,1.952444
448,1.948748
449,1.952897
450,1.949131
451,1.961352
452,1.965375
453,1.977185
454,1.989585
455,2.001644
456,1.997643
457,2.001913
458,2.014243
459,2.026854
460,2.038847
461,2.042553
462,2.054967
463,2.067658
464,2.071416
465,2.06734
466,2.071227
467,2.074965
468,2.078853
469,2.082583
470,2.094799
471,2.098682
472,2.094134
473,2.098448
474,2.110461
475,2.123159
476,2.127215
477,2.139769
478,2.144059
479,2.148075
480,2.160471
481,2.164619
482,2.176828
483,2.188976
484,2.192602
485,2.204912
486,2.217599
487,2.2212
488,2.233737
489,2.237298
490,2.232378
491,2.236367
492,2.24903
493,2.253277
494,2.248041
495,2.260323
496,2.263769
497,2.276308
498,2.288726
499,2.301341
500,2.314334
501,2.318338
502,2.330993
503,2.343778
504,2.346993
505,2.350532
506,2.354342
507,2.348842
508,2.352467
509,2.355789
510,2.359699
511,2.372128
512,2.375808
513,2.379111
514,2.39187
515,2.404676
516,2.417222
517,2.420759
518,2.433577
519,2.436948
520,2.450195
521,2.453687
522,2.466758
523,2.460538
524,2.47375
525,2.477542
526,2.481037
527,2.49379
528,2.497178
529,2.510015
530,2.522807
531,2.516672
532,2.530126
533,2.543699
534,2.556425
535,2.559518
536,2.563094
537,2.576159
538,2.569234
539,2.572999
540,2.586332
541,2.599727
542,2.60258
543,2.606082
544,2.600374
545,2.603087
546,2.605914
547,2.618622
548,2.621695
549,2.62476
550,2.627817
551,2.621119
552,2.62501
553,2.637535
554,2.640667
555,2.653322
556,2.666021
557,2.679205
558,2.693079
559,2.696119
560,2.709554
561,2.722926
562,2.726399
563,2.739341
564,2.741854
565,2.745674
566,2.748751
567,2.762263
568,2.765239
569,2.768313
570,2.770948
571,2.773483
572,2.787315
573,2.800394
574,2.802662
575,2.805247
576,2.808138
577,2.821463
578,2.835183
579,2.848296
580,2.851408
581,2.864597
582,2.857018
