episode,reward
1,0.205133
2,0.269144
3,0.212190
4,0.146003
5,0.233570
6,0.176021
7,0.181496
8,0.203648
9,0.240046
10,0.171853
11,0.252053
12,0.218476
13,0.147893
14,0.161200
15,0.198013
16,0.148099
17,0.227428
18,0.236952
19,0.206930
20,0.251599
21,0.191305
22,0.229038
23,0.198760
24,0.254138
25,0.157143
26,0.258351
27,0.243549
28,0.233286
29,0.204045
30,0.228594
31,0.208915
32,0.211390
33,0.197378
34,0.200498
35,0.229359
36,0.258061
37,0.213381
38,0.263472
39,0.201817
40,0.169317
41,0.159168
42,0.208463
43,0.197860
44,0.207086
45,0.292022
46,0.210318
47,0.152669
48,0.172549
49,0.231305
50,0.136494
51,0.147117
52,0.232052
53,0.257782
54,0.221093
55,0.197984
56,0.205249
57,0.148143
58,0.205086
59,0.149413
60,0.173948
61,0.164514
62,0.193789
63,0.258188
64,0.152966
65,0.124896
66,0.126756
67,0.224438
68,0.242136
69,0.220618
70,0.150505
71,0.213513
72,0.236517
73,0.217254
74,0.140863
75,0.218193
76,0.151261
77,0.280989
78,0.255292
79,0.290235
80,0.122691
81,0.166579
82,0.205119
83,0.205693
84,0.240404
85,0.248221
86,0.173478
87,0.253298
88,0.159355
89,0.198104
90,0.262870
91,0.149852
92,0.231165
93,0.174486
94,0.218545
95,0.176215
96,0.197630
97,0.263954
98,0.195993
99,0.201089
100,0.175124
101,0.194888
102,0.214267
103,0.153875
104,0.165212
105,0.120726
106,0.217027
107,0.250236
108,0.132286
109,0.161781
110,0.256115
111,0.266373
112,0.215433
113,0.189802
114,0.203542
115,0.233977
116,0.265228
117,0.199405
118,0.247673
119,0.243793
120,0.151069
121,0.149731
122,0.244669
123,0.211318
124,0.219567
125,0.193583
126,0.119906
127,0.172864
128,0.130025
129,0.276965
130,0.251611
131,0.262114
132,0.183298
133,0.190988
134,0.177183
135,0.121599
136,0.145040
137,0.255124
138,0.179486
139,0.174739
140,0.148652
141,0.149493
142,0.199746
143,0.227169
144,0.185549
145,0.183975
146,0.108065
147,0.204567
148,0.127529
149,0.225307
150,0.209818
151,0.143365
152,0.215319
153,0.234299
154,0.236002
155,0.162613
156,0.199186
157,0.204280
158,0.216500
159,0.233568
160,0.185101
161,0.159319
162,0.243885
163,0.184570
164,0.272245
165,0.219107
166,0.239011
167,0.257368
168,0.118854
169,0.116936
170,0.181912
171,0.169214
172,0.175777
173,0.175229
174,0.235405
175,0.150336
176,0.236990
177,0.149455
178,0.170396
179,0.167016
180,0.242683
181,0.212675
182,0.257437
183,0.256700
184,0.166832
185,0.241551
186,0.187944
187,0.205548
188,0.211060
189,0.164290
190,0.288634
191,0.163106
192,0.269700
193,0.174149
194,0.216319
195,0.275160
196,0.201234
197,0.171663
198,0.223611
199,0.245731
200,0.136615
201,0.318574
202,0.234880
203,0.241746
204,0.108797
205,0.253054
206,0.213399
207,0.186806
208,0.192094
209,0.139584
210,0.174482
211,0.128800
212,0.120266
213,0.105656
214,0.132263
215,0.171927
216,0.181242
217,0.174313
218,0.200736
219,0.279945
220,0.173054
221,0.176407
222,0.199904
223,0.113161
224,0.160348
225,0.194825
226,0.173241
227,0.120534
228,0.190806
229,0.245675
230,0.149581
231,0.186537
232,0.229866
233,0.099341
234,0.161328
235,0.195867
236,0.203494
237,0.113310
238,0.155318
239,0.151940
240,0.186480
241,0.189792
242,0.158857
243,0.173259
244,0.162988
245,0.184006
246,0.154278
247,0.222388
248,0.160810
249,0.205798
250,0.181473
251,0.159184
252,0.114469
253,0.234365
254,0.215977
255,0.147626
256,0.160563
257,0.255836
258,0.196491
259,0.129018
260,0.096422
261,0.228171
262,0.202118
263,0.184671
264,0.215212
265,0.192619
266,0.200722
267,0.154364
268,0.212829
269,0.184814
270,0.086974
271,0.103794
272,0.254852
273,0.187970
274,0.146545
275,0.208636
276,0.275299
277,0.155745
278,0.128717
279,0.122678
280,0.181800
281,0.161171
282,0.162027
283,0.288707
284,0.136902
285,0.163010
286,0.098948
287,0.201370
288,0.271874
289,0.211758
290,0.165117
291,0.144568
292,0.102397
293,0.267337
294,0.298744
295,0.163610
296,0.146382
297,0.095697
298,0.122737
299,0.211447
300,0.208537
301,0.151461
302,0.151646
303,0.167152
304,0.226235
305,0.239367
306,0.169251
307,0.201921
308,0.168329
309,0.099141
310,0.130229
311,0.147210
312,0.154178
313,0.188431
314,0.261442
315,0.110421
316,0.198803
317,0.195960
318,0.150528
319,0.298114
320,0.173683
321,0.239771
322,0.255753
323,0.133210
324,0.147870
325,0.122658
326,0.303721
327,0.196893
328,0.213546
329,0.372591
330,0.190828
331,0.143391
332,0.190492
333,0.222757
334,0.150135
335,0.230447
336,0.267999
337,0.270999
338,0.198118
339,0.122665
340,0.184133
341,0.265856
342,0.241264
343,0.261158
344,0.134288
345,0.264533
346,0.151043
347,0.148099
348,0.216925
349,0.140847
350,0.209378
351,0.195315
352,0.139617
353,0.166543
354,0.101523
355,0.216945
356,0.145560
357,0.184830
358,0.180573
359,0.231328
360,0.241571
361,0.219986
362,0.149749
363,0.177761
